CPF,Nome,Idade,Sexo,Localização,Historico_Compras,Preferencias_Produto
796.124.038-13,Letícia Cirino,57,Masculino,da Luz,10,Acessórios
783.962.150-30,Diogo da Mata,42,Masculino,Moraes,1,Vestidos
247.805.196-67,Ravi das Neves,42,Masculino,Silveira das Flores,19,Acessórios
279.381.604-31,Davi Miguel Montenegro,29,Feminino,das Neves,7,Camisetas
271.430.596-25,Renan Fogaça,46,Masculino,Novais,11,Camisetas
214.869.073-69,Cecilia Guerra,24,Masculino,Silveira de Viana,2,Calças
327.159.608-59,Sr. Arthur Gabriel Pacheco,24,Feminino,Jesus,8,Calças
193.847.205-50,Maria Laura Campos,27,Feminino,das Neves,11,Acessórios
862.709.513-21,Sra. Maria Julia Gomes,65,Feminino,Oliveira do Campo,5,Calças
086.425.731-71,Camila Cavalcante,61,Masculino,Moura das Flores,7,Calças
106.325.894-42,Maria Fernanda Câmara,34,Masculino,Oliveira,16,Camisetas
496.827.310-03,Dr. Miguel Rocha,31,Masculino,Rios do Amparo,3,Calças
174.590.368-20,Ana Julia Lopes,57,Masculino,Santos de Pires,18,Camisetas
152.304.789-50,Ana Carolina Azevedo,21,Feminino,Camargo,13,Camisetas
639.087.451-01,Valentim Câmara,43,Masculino,Correia do Amparo,5,Vestidos
153.760.942-43,Natália Mendes,20,Masculino,Costela,4,Acessórios
451.397.286-64,Gabrielly Martins,50,Feminino,Casa Grande de Porto,15,Calças
479.368.250-29,Ana Sophia Gomes,22,Masculino,Costa,0,Acessórios
982.734.605-92,Sra. Lara Cavalcante,40,Feminino,Casa Grande,5,Acessórios
108.372.459-23,Nicolas Guerra,20,Masculino,Moreira da Prata,6,Calças
952.186.340-42,Maria Alice Novaes,50,Masculino,Costa,17,Vestidos
861.749.023-31,Murilo Araújo,52,Masculino,Sampaio,3,Camisetas
086.543.279-10,Theo Fogaça,45,Feminino,Pacheco do Galho,0,Vestidos
340.715.698-75,João Vitor da Mota,55,Feminino,Mendonça,12,Acessórios
358.720.641-44,Maysa Porto,60,Feminino,Vargas da Prata,11,Calças
375.164.928-09,Dr. Breno Cavalcante,34,Masculino,Barros,9,Vestidos
025.479.318-50,Kevin Souza,27,Masculino,Almeida do Amparo,3,Camisetas
397.645.180-01,Emilly Novais,65,Feminino,Brito,16,Acessórios
356.081.729-30,Alícia Rocha,30,Masculino,Mendonça,10,Calças
784.503.691-93,Igor Lima,25,Feminino,da Conceição de da Luz,8,Vestidos
725.103.946-06,Léo Pires,21,Masculino,Carvalho,1,Acessórios
367.084.295-00,Vitória Oliveira,40,Masculino,Pacheco,19,Acessórios
163.240.897-03,Sr. Pedro Miguel Peixoto,31,Feminino,Siqueira Grande,8,Vestidos
597.160.243-80,João Vitor Mendonça,19,Feminino,da Cruz,16,Camisetas
136.928.754-28,José Pedro Pimenta,22,Feminino,Nunes,18,Vestidos
258.103.974-41,Lavínia Pimenta,38,Masculino,Lopes,18,Acessórios
516.432.780-53,Anthony Gabriel Azevedo,41,Feminino,Sá,4,Acessórios
510.692.834-60,Caio Camargo,65,Masculino,Pimenta,1,Vestidos
871.593.264-82,Enzo Gabriel Nascimento,63,Masculino,Campos,17,Vestidos
203.561.847-90,Cecilia Dias,47,Feminino,Cunha de Ribeiro,18,Camisetas
950.381.746-39,Pietro Peixoto,55,Masculino,Montenegro,4,Calças
386.917.425-00,Leandro Dias,57,Masculino,da Mota,10,Vestidos
519.483.670-84,Juliana Mendes,29,Masculino,Pinto Verde,3,Acessórios
209.387.154-88,Liam Siqueira,50,Feminino,Sales de Moura,8,Calças
943.167.580-39,Luiz Felipe Monteiro,46,Masculino,Pinto Verde,3,Calças
071.926.354-99,Juan Correia,30,Masculino,Lopes do Galho,5,Vestidos
619.584.230-33,Davi Lucas Nascimento,48,Masculino,Mendes das Flores,16,Vestidos
167.504.389-20,Levi Pires,18,Feminino,Ribeiro de Sales,8,Acessórios
265.139.807-12,Ana Julia Moura,27,Masculino,Porto Grande,20,Vestidos
641.589.723-37,Jade Mendes,23,Feminino,Barbosa da Prata,18,Camisetas
730.491.286-31,Maria Liz Aparecida,42,Masculino,Andrade de das Neves,19,Camisetas
569.874.310-00,Bruna Azevedo,39,Feminino,Azevedo Grande,2,Calças
106.273.598-68,Luiz Felipe Dias,27,Feminino,Barbosa das Pedras,9,Calças
683.017.524-08,Manuella Cardoso,61,Feminino,Garcia do Oeste,0,Vestidos
709.628.541-58,Thales Macedo,64,Masculino,Viana,19,Camisetas
156.809.427-20,Paulo Vargas,45,Feminino,Almeida de Marques,19,Camisetas
235.491.678-73,Mariana Nascimento,26,Masculino,Fernandes,5,Acessórios
462.075.931-70,Henrique Marques,61,Feminino,Machado de Goiás,2,Calças
428.375.019-05,Stella Sales,44,Feminino,Silva de Minas,6,Vestidos
540.382.916-42,Isabela Campos,24,Feminino,Araújo de Goiás,1,Acessórios
612.940.587-11,Arthur Miguel Araújo,36,Masculino,Araújo de Ribeiro,16,Vestidos
803.159.764-20,Ian Porto,44,Feminino,Martins,5,Camisetas
407.389.651-20,Aurora Abreu,64,Masculino,Cunha dos Dourados,8,Camisetas
903.451.628-89,Bento Cirino,23,Masculino,da Costa,19,Acessórios
386.752.109-30,Maria Sophia Melo,42,Masculino,Sampaio do Oeste,3,Acessórios
790.382.156-30,Ana Liz da Conceição,36,Feminino,Araújo,1,Calças
150.463.892-15,Pedro Henrique Lopes,25,Masculino,Pinto,14,Vestidos
275.143.968-37,Srta. Alice Montenegro,20,Masculino,Santos dos Dourados,15,Calças
016.589.427-01,Yan Gomes,24,Feminino,Ribeiro,14,Camisetas
146.852.397-09,Maria Helena Souza,30,Masculino,Macedo Verde,8,Acessórios
842.731.065-07,Isis Marques,58,Feminino,Rezende do Sul,5,Acessórios
926.104.873-04,Heloísa Andrade,29,Masculino,Pastor,12,Calças
582.460.937-38,Isaac Azevedo,58,Feminino,Fogaça Alegre,18,Vestidos
534.027.861-17,Theo Silveira,41,Masculino,da Luz do Oeste,20,Vestidos
079.546.123-25,Isaque Caldeira,26,Masculino,Abreu,17,Vestidos
174.286.530-53,Sara Farias,54,Masculino,Vasconcelos,11,Calças
645.813.902-06,Oliver Cardoso,35,Feminino,Pires,6,Acessórios
195.367.408-93,Manuela Brito,27,Feminino,Moraes,19,Camisetas
618.573.920-86,Srta. Maria Helena Silveira,31,Feminino,Fonseca,15,Vestidos
314.825.796-00,Yago Rocha,53,Feminino,Cassiano,10,Acessórios
069.834.125-24,Maria Helena Almeida,43,Feminino,Silva dos Dourados,2,Calças
692.175.804-49,Felipe Almeida,33,Masculino,Pimenta do Galho,0,Camisetas
678.032.145-17,Luana Sampaio,28,Masculino,da Rocha de Lima,1,Camisetas
925.041.683-06,Arthur Gabriel Gomes,35,Feminino,Vargas,7,Calças
962.745.083-92,Alice Duarte,34,Feminino,Sousa de Goiás,19,Vestidos
651.409.723-52,Elisa das Neves,30,Masculino,Brito,20,Calças
124.678.950-76,Ayla Mendonça,20,Feminino,Fogaça,10,Acessórios
987.612.504-49,Sr. Igor Cassiano,50,Masculino,Aragão dos Dourados,11,Acessórios
940.715.386-00,Bella Marques,48,Masculino,Lima do Galho,19,Camisetas
273.146.598-00,Gael Henrique Cassiano,64,Masculino,Guerra,14,Camisetas
509.683.714-93,Matheus Novais,57,Feminino,Sá de Vasconcelos,9,Vestidos
627.890.413-69,Isis Rocha,63,Feminino,Sousa,15,Calças
981.456.230-06,Yuri Pinto,31,Feminino,Rios do Norte,2,Calças
832.791.405-79,Ana Clara Freitas,63,Feminino,Abreu do Galho,10,Vestidos
731.540.286-17,Sra. Ana Julia Novaes,58,Masculino,Ribeiro,19,Vestidos
451.367.089-48,Bárbara da Mata,29,Feminino,Viana do Galho,12,Vestidos
514.269.780-49,Dra. Allana Peixoto,49,Masculino,Silva do Amparo,17,Calças
453.896.071-39,Miguel Camargo,51,Masculino,Oliveira,20,Calças
850.769.124-20,Júlia Cavalcante,34,Masculino,Rocha da Mata,3,Camisetas
932.051.648-06,Samuel Castro,27,Feminino,das Neves do Sul,16,Vestidos
810.532.649-33,Sr. Francisco da Cunha,38,Masculino,Sá,13,Camisetas
043.896.712-78,Aurora Cavalcante,34,Feminino,Cardoso da Praia,7,Camisetas
029.457.318-60,Yasmin Aparecida,47,Masculino,Macedo,6,Camisetas
974.681.520-20,Vitória Rios,39,Masculino,Pacheco,5,Acessórios
718.543.906-00,Dr. João Miguel Viana,62,Masculino,Machado,4,Acessórios
581.260.937-30,Theo Porto,32,Masculino,Siqueira Grande,4,Camisetas
937.054.186-10,Ana Silveira,45,Masculino,Silva,17,Camisetas
497.306.152-25,Lunna Sousa,23,Feminino,Sousa de Minas,3,Calças
208.931.547-41,Luiz Fernando Correia,65,Feminino,Siqueira da Prata,12,Calças
034.269.517-70,Eloá Rodrigues,49,Masculino,Jesus,20,Vestidos
308.476.159-01,Stephany Dias,43,Feminino,Monteiro,2,Calças
417.892.503-23,Dr. Nathan da Cunha,64,Masculino,Aragão,12,Camisetas
203.576.149-25,Srta. Maria Julia Caldeira,25,Masculino,da Costa do Amparo,9,Calças
504.387.692-10,Sr. João Felipe Fogaça,60,Feminino,da Paz,11,Vestidos
487.501.293-41,André das Neves,54,Feminino,Viana Paulista,9,Camisetas
120.753.469-25,Esther Ribeiro,53,Feminino,Dias,17,Acessórios
781.459.326-37,Srta. Antonella Lopes,60,Feminino,Câmara da Praia,16,Vestidos
502.139.876-86,Sra. Cecilia Gonçalves,39,Feminino,das Neves Paulista,5,Vestidos
573.624.910-34,Allana Ramos,46,Masculino,Azevedo,7,Vestidos
326.194.807-87,Otávio Sampaio,59,Masculino,da Rosa de Almeida,5,Acessórios
463.705.892-92,Léo Cassiano,36,Masculino,Monteiro,18,Acessórios
426.938.157-46,Sr. Gael Gomes,27,Feminino,Freitas da Serra,4,Acessórios
610.329.785-03,Lívia Freitas,23,Feminino,Castro,16,Camisetas
791.438.250-79,Cauã Câmara,56,Feminino,Pimenta de Barbosa,0,Vestidos
298.130.574-32,Henrique Caldeira,22,Feminino,Sá,11,Camisetas
769.845.210-76,Davi Moraes,46,Feminino,Rezende,8,Vestidos
391.784.052-97,Maria Flor Silva,20,Masculino,da Paz da Praia,9,Acessórios
034.758.291-50,Carlos Eduardo da Mata,34,Feminino,Correia de Moreira,3,Acessórios
497.861.023-04,Diego Casa Grande,29,Feminino,da Luz,20,Acessórios
209.354.687-65,Brayan Rocha,56,Masculino,Castro,10,Acessórios
839.056.471-84,Pedro Miguel Macedo,18,Masculino,Ribeiro Paulista,12,Calças
809.467.215-30,Luana Fernandes,46,Feminino,Nascimento de Minas,19,Acessórios
840.357.269-74,Sr. Davi Miguel Pastor,20,Masculino,Dias,8,Camisetas
283.740.159-50,Leonardo Camargo,37,Masculino,da Cruz da Praia,14,Acessórios
671.542.893-09,Matteo Silveira,42,Masculino,Almeida dos Dourados,4,Calças
862.093.154-70,Ana Júlia Aparecida,37,Masculino,Vieira,15,Vestidos
865.712.043-71,Rael Moraes,57,Feminino,Marques,20,Calças
187.302.694-31,Lívia da Paz,40,Feminino,Rodrigues,11,Vestidos
867.359.204-65,Maria Fernanda Almeida,25,Feminino,Machado,2,Camisetas
507.948.613-93,Srta. Beatriz Moraes,32,Feminino,Siqueira,19,Acessórios
903.846.571-84,Isaque Abreu,44,Masculino,Pimenta,4,Calças
430.781.925-04,Henry Castro,20,Masculino,Fonseca,5,Calças
514.962.873-55,Antônio Rezende,60,Feminino,Porto,12,Camisetas
289.310.546-70,Thomas Correia,38,Masculino,Vieira de Fonseca,8,Calças
145.872.960-58,Melina Sales,25,Masculino,da Paz da Prata,17,Vestidos
649.053.721-43,Ana Lívia Mendes,29,Masculino,Pires,9,Acessórios
826.490.751-20,Alana Sousa,57,Masculino,Melo,2,Vestidos
251.096.784-30,Dr. Murilo Barbosa,64,Masculino,Leão,9,Acessórios
731.049.586-10,Giovanna Cardoso,37,Feminino,Aragão,13,Camisetas
341.276.850-26,Otávio da Luz,18,Masculino,Pinto,3,Camisetas
316.502.789-77,Ana Clara Campos,59,Masculino,Martins do Campo,11,Acessórios
312.504.687-44,Thomas Alves,42,Masculino,Sousa,16,Calças
783.102.659-21,Bento Gomes,60,Feminino,Leão de Pastor,9,Camisetas
179.526.483-73,Renan da Mota,60,Feminino,da Conceição,20,Acessórios
491.203.758-32,Maria Sophia Pimenta,31,Feminino,Lopes de Goiás,6,Vestidos
978.514.023-79,Sara Cardoso,48,Feminino,Montenegro,1,Camisetas
354.810.276-07,Cauã da Costa,41,Feminino,Silveira,12,Vestidos
276.834.015-44,Sra. Julia Aragão,35,Masculino,Cunha,8,Camisetas
786.495.213-55,Luara Cardoso,52,Feminino,Sá,4,Camisetas
952.371.048-60,Raul Santos,54,Masculino,Abreu,11,Acessórios
285.916.730-77,Pedro Lucas Souza,36,Feminino,Nunes,6,Vestidos
672.381.059-77,Henry Campos,61,Feminino,Garcia,13,Calças
432.175.968-46,Julia Costela,55,Masculino,Araújo,7,Acessórios
896.452.017-30,Ana Clara Martins,56,Feminino,Novais do Norte,7,Acessórios
592.467.180-11,Joaquim Nunes,64,Feminino,Pacheco de Goiás,16,Camisetas
071.654.832-17,Maria Fernanda Macedo,31,Feminino,Abreu,7,Camisetas
806.415.792-76,Sr. Léo Aparecida,18,Masculino,Abreu,3,Calças
