CPF,Nome,Idade,Sexo,Localização,Historico_Compras,Preferencias_Produto
971.450.623-99,Oliver Lima,65,Feminino,da Mota da Mata,19,Acessórios
983.507.416-00,Liam Vasconcelos,46,Masculino,Vieira,3,Calças
482.375.106-07,Raul Marques,44,Feminino,Vasconcelos,0,Vestidos
517.326.908-12,Rafael Rocha,65,Feminino,Vieira,2,Vestidos
314.092.867-03,Marcelo Cunha,23,Feminino,Pinto,5,Acessórios
316.478.592-55,Maya Gonçalves,33,Feminino,Costela,13,Acessórios
174.826.903-87,Srta. Lavínia Rocha,65,Feminino,Fogaça,19,Camisetas
205.186.794-11,Ana Julia Rios,32,Feminino,Viana,0,Vestidos
670.234.198-96,Henry da Cruz,49,Masculino,Rocha,0,Camisetas
706.541.829-49,Benicio das Neves,53,Feminino,Gonçalves de Caldeira,13,Calças
572.186.490-76,Antônio Fogaça,54,Masculino,Viana de Minas,13,Camisetas
076.893.514-84,Danilo Leão,35,Masculino,Rodrigues,6,Calças
246.150.379-61,Dra. Yasmin Vargas,21,Masculino,Farias de Goiás,12,Acessórios
581.403.927-23,Dr. Cauê da Cunha,30,Masculino,Ribeiro das Pedras,0,Calças
394.076.851-01,Sr. Yago Silveira,29,Masculino,Ribeiro do Oeste,17,Camisetas
048.392.517-97,Théo Rocha,24,Masculino,Moreira de Machado,6,Camisetas
953.142.086-60,Mariana Sousa,50,Masculino,Almeida de Borges,9,Acessórios
143.295.867-46,Theo Machado,27,Masculino,da Rocha do Campo,10,Calças
072.986.453-74,João Felipe Alves,62,Masculino,Duarte,4,Camisetas
317.569.840-93,Ana Liz Pinto,52,Feminino,Nogueira Alegre,4,Vestidos
065.193.728-03,Thiago Costela,57,Masculino,da Rocha,17,Acessórios
205.731.698-02,Pedro Campos,24,Masculino,Novais,4,Calças
946.278.350-00,Benjamim Pereira,33,Feminino,da Rosa Verde,15,Acessórios
240.971.638-50,Laura Montenegro,38,Masculino,Vieira,7,Camisetas
436.057.812-17,Melissa Leão,45,Feminino,Cunha do Galho,16,Vestidos
037.465.921-43,Luiz Gustavo Câmara,52,Feminino,Vieira,5,Calças
230.198.574-14,Antônio Andrade,33,Feminino,Mendonça Grande,19,Acessórios
287.516.049-49,Isabel Moraes,45,Masculino,Barros,7,Camisetas
389.027.156-12,Ravy Machado,26,Masculino,Barbosa de da Conceição,3,Calças
908.723.561-59,Mirella Campos,52,Masculino,Duarte das Pedras,2,Calças
718.065.394-20,Juliana Novaes,33,Masculino,Andrade,2,Camisetas
942.150.763-07,Carolina Sousa,37,Feminino,Gonçalves do Galho,20,Camisetas
231.694.758-19,Eduardo Barros,38,Feminino,Montenegro,20,Calças
204.718.536-07,Aylla Pimenta,30,Feminino,Almeida,1,Acessórios
658.713.490-48,Leonardo Novais,28,Masculino,Porto do Oeste,7,Calças
392.051.684-24,João Miguel Câmara,49,Feminino,Correia de Goiás,18,Camisetas
176.392.408-40,Milena Montenegro,23,Masculino,Duarte das Flores,9,Camisetas
568.970.341-93,Julia Cardoso,31,Feminino,Montenegro,3,Vestidos
569.170.832-59,Sr. Samuel Vieira,34,Feminino,Campos Grande,15,Calças
487.516.032-17,Pietra Freitas,18,Masculino,das Neves da Serra,1,Calças
361.592.074-07,Sr. Ian Sales,52,Masculino,Rocha de Azevedo,14,Vestidos
735.128.496-28,Giovanna Peixoto,18,Feminino,Fogaça,13,Vestidos
043.295.178-41,Bella Rocha,40,Masculino,Pastor,15,Calças
394.810.276-78,Maria Sophia Monteiro,23,Feminino,Machado,0,Calças
917.462.085-11,Léo Ribeiro,35,Feminino,Novais,4,Acessórios
302.571.698-30,Sr. Antônio Castro,27,Feminino,Siqueira,5,Vestidos
890.723.651-86,Renan Andrade,51,Masculino,Moraes Paulista,1,Vestidos
650.738.291-40,Pedro Garcia,54,Feminino,Moura Alegre,4,Calças
172.630.948-78,Benjamim Novaes,33,Masculino,Sampaio de Rios,20,Acessórios
379.416.250-16,Ana Carolina Viana,30,Masculino,Barros,13,Camisetas
086.217.349-31,Sra. Julia Farias,56,Feminino,da Mota Verde,14,Camisetas
204.387.915-41,Gabriela Nogueira,22,Feminino,Lima,13,Camisetas
394.715.806-84,Ana Laura Ferreira,44,Feminino,Duarte,9,Camisetas
508.239.176-30,Sr. Valentim Nogueira,25,Feminino,da Luz do Norte,8,Acessórios
952.760.831-77,Olívia Oliveira,40,Feminino,Ferreira de Aragão,1,Calças
821.456.097-76,Hellena Freitas,52,Masculino,Cavalcante,1,Camisetas
930.157.826-30,Theodoro Lopes,21,Feminino,Freitas de Castro,6,Vestidos
231.897.450-05,Srta. Eloá Sales,18,Feminino,Azevedo,13,Vestidos
523.697.018-03,Benjamim da Conceição,41,Feminino,Castro do Campo,1,Acessórios
436.129.075-06,José Miguel Nogueira,22,Masculino,Abreu de Abreu,19,Camisetas
169.782.453-64,Pietro Duarte,54,Feminino,Silveira,10,Camisetas
682.940.157-76,Lara Monteiro,33,Feminino,Sales,14,Acessórios
048.397.265-74,Lívia Rios,48,Feminino,Melo,15,Acessórios
275.864.309-00,Sr. João Pedro da Rocha,33,Masculino,Novaes Paulista,13,Camisetas
458.902.316-42,Bianca Cassiano,63,Masculino,Rezende de Minas,15,Acessórios
701.849.562-85,Sarah Cassiano,33,Masculino,Barros Verde,19,Vestidos
479.530.216-25,Srta. Fernanda Sousa,63,Masculino,Montenegro do Galho,19,Vestidos
975.214.386-55,Marcela Pimenta,46,Feminino,Duarte,5,Calças
791.485.206-67,Antony Farias,42,Masculino,Rios de da Conceição,11,Vestidos
370.958.124-97,Maria Luiza Silveira,43,Masculino,Rezende,13,Calças
280.734.519-05,Sofia Rios,54,Feminino,Machado da Praia,16,Acessórios
976.215.048-11,Alana Jesus,29,Feminino,da Mota Paulista,11,Vestidos
237.694.580-10,Rodrigo Ramos,48,Feminino,Peixoto Verde,5,Acessórios
345.819.062-70,Dr. Yago Souza,41,Masculino,Garcia,12,Acessórios
490.862.713-40,Melina Vargas,24,Feminino,Rios,16,Camisetas
347.820.169-13,Sr. Dante Peixoto,27,Masculino,Barbosa do Oeste,15,Camisetas
953.084.271-60,Sr. Bento Brito,28,Masculino,Andrade Alegre,19,Acessórios
806.793.512-21,Dr. Apollo Montenegro,30,Masculino,Cirino,14,Acessórios
017.582.493-23,Evelyn da Rocha,35,Masculino,Cardoso,18,Acessórios
958.617.302-02,Stella Vargas,57,Masculino,Borges,7,Calças
612.389.740-31,Srta. Sarah Porto,33,Feminino,Casa Grande,3,Camisetas
147.982.506-94,Alexandre da Rosa,30,Masculino,Viana,2,Acessórios
158.340.967-00,Brayan Sousa,24,Feminino,Pacheco de Marques,19,Acessórios
076.823.954-00,Rael Cardoso,23,Feminino,Garcia da Prata,13,Camisetas
648.015.792-30,Ana Carolina Melo,32,Feminino,Oliveira de Campos,14,Acessórios
938.605.271-77,Julia da Costa,31,Masculino,Moraes Paulista,18,Acessórios
123.589.476-28,Heloísa Peixoto,33,Masculino,Almeida de Minas,1,Camisetas
501.498.276-01,Ravy Albuquerque,44,Feminino,Rios,10,Vestidos
023.678.954-65,Dr. Benicio Machado,62,Feminino,Lima da Mata,16,Vestidos
489.630.571-00,Valentim Cavalcanti,34,Masculino,Rodrigues de Minas,4,Acessórios
435.786.291-46,Sr. Alexandre Ferreira,41,Masculino,Campos,0,Acessórios
716.092.835-03,Sr. Davi Albuquerque,21,Feminino,Martins,12,Vestidos
546.238.710-53,Sr. Francisco Campos,29,Masculino,Caldeira de da Mota,19,Vestidos
038.671.429-04,Valentina Almeida,42,Masculino,Jesus,19,Vestidos
608.253.791-21,Mathias Nogueira,26,Masculino,Lopes,6,Acessórios
593.082.147-04,Sr. Bento Santos,50,Feminino,Araújo da Serra,19,Acessórios
326.478.091-78,Natália Marques,47,Feminino,Sousa das Flores,11,Acessórios
364.812.057-35,Sr. Guilherme Peixoto,57,Feminino,Sales,1,Vestidos
243.957.816-91,Sr. Raul Vargas,25,Feminino,Lima,1,Calças
263.587.104-35,Sra. Sophie Barbosa,31,Feminino,Cirino do Amparo,20,Camisetas
806.173.492-31,Bella Fogaça,64,Masculino,Leão Paulista,7,Acessórios
253.794.860-29,Pedro Henrique Caldeira,34,Feminino,Silveira da Serra,10,Camisetas
802.756.419-02,Amanda Moreira,18,Feminino,Cassiano,7,Acessórios
019.736.542-61,Rafaela da Mata,31,Feminino,da Luz,8,Acessórios
015.692.784-58,Davi Luiz Garcia,40,Masculino,Pastor,3,Calças
835.471.206-08,Danilo Sousa,48,Feminino,Araújo,9,Acessórios
086.549.127-58,Vitor Hugo Novaes,39,Masculino,Ribeiro da Praia,19,Vestidos
238.196.450-98,Yan Vasconcelos,26,Masculino,da Cruz da Serra,15,Camisetas
925.310.476-70,Davi Lucas Porto,57,Feminino,Casa Grande,14,Vestidos
471.532.096-70,Dr. Luiz Henrique Farias,23,Feminino,Cirino Verde,18,Calças
572.864.903-38,Yasmin Guerra,61,Masculino,Monteiro do Oeste,18,Vestidos
947.631.580-66,Ana Luiza Moreira,26,Feminino,Câmara de Minas,16,Vestidos
923.568.107-30,Henry Marques,23,Masculino,Mendonça de Machado,2,Camisetas
702.439.185-50,Melissa da Costa,54,Feminino,Ramos do Galho,9,Calças
631.942.780-96,Olivia Rezende,42,Masculino,da Mota de Jesus,2,Acessórios
895.617.423-73,Dr. Cauê da Mota,57,Masculino,Pinto,10,Vestidos
627.940.835-38,Pietra Cavalcante,42,Masculino,Castro Verde,13,Vestidos
608.749.532-00,Luiz Felipe Dias,61,Feminino,Azevedo do Sul,11,Camisetas
843.695.120-42,Leandro Alves,19,Masculino,Leão,13,Calças
140.598.327-23,Sr. Leandro da Mata,38,Masculino,Carvalho,17,Vestidos
109.625.487-58,Maria Luiza Vargas,20,Feminino,Costa de Campos,0,Calças
156.089.372-95,Isabel Guerra,63,Feminino,Rocha das Pedras,2,Calças
548.972.136-73,Cecilia Dias,40,Feminino,Silva de da Mata,20,Vestidos
738.160.245-80,Paulo Jesus,52,Feminino,Pimenta,3,Vestidos
485.269.710-85,Benjamin Mendonça,36,Feminino,Camargo de Sampaio,16,Acessórios
306.921.845-89,Henrique Melo,33,Masculino,Marques de Rios,9,Acessórios
012.549.678-85,Diogo Cassiano,40,Masculino,Teixeira,8,Calças
985.431.207-05,Thiago Gomes,40,Masculino,Barbosa,7,Camisetas
914.652.738-91,Pedro Lucas Carvalho,50,Masculino,Silveira da Serra,3,Calças
608.971.524-76,Juan Fernandes,34,Feminino,Marques de Minas,10,Camisetas
304.798.265-10,Laura Gomes,56,Feminino,Cavalcante,11,Calças
279.864.015-67,Maya Almeida,44,Masculino,Carvalho de Garcia,17,Calças
847.659.201-94,Brayan Gonçalves,55,Feminino,Albuquerque Alegre,19,Camisetas
267.581.904-20,Rael Pires,57,Masculino,Martins do Amparo,12,Calças
657.938.012-86,Paulo Viana,25,Feminino,Dias de Borges,3,Vestidos
267.530.981-86,Nicole Vargas,29,Feminino,da Luz do Campo,8,Camisetas
413.672.580-90,Mariah Barros,53,Masculino,Mendes,2,Acessórios
476.182.935-46,Heloisa Lima,55,Feminino,Mendes,1,Camisetas
029.817.645-94,Sra. Juliana da Rocha,55,Feminino,Vieira de Ramos,1,Camisetas
243.918.675-91,Maria Helena Moura,41,Feminino,Duarte,1,Acessórios
816.402.753-71,Diego Pimenta,43,Feminino,Lima de Goiás,1,Acessórios
185.370.492-04,Nathan Pires,24,Masculino,Macedo,7,Calças
750.283.469-92,Luiz Otávio Mendes,63,Masculino,Santos,17,Camisetas
682.409.173-13,Catarina Cavalcanti,24,Masculino,Nascimento Paulista,13,Calças
379.245.061-52,Pedro Miguel Cavalcanti,39,Feminino,Souza do Galho,0,Vestidos
896.234.705-92,Sr. Matteo Macedo,54,Masculino,da Mota,18,Acessórios
189.547.362-46,Arthur Moura,39,Feminino,Sales,6,Vestidos
160.498.732-40,Lucas Pacheco,62,Feminino,da Cruz da Mata,10,Acessórios
792.610.853-77,Gustavo das Neves,36,Masculino,da Luz,16,Calças
516.923.780-40,Bruno Farias,22,Feminino,Casa Grande de Fonseca,19,Calças
109.782.564-76,Ian Casa Grande,62,Feminino,Duarte,11,Camisetas
843.521.607-17,Ravi Pinto,56,Masculino,da Rosa de Marques,4,Camisetas
870.256.413-08,Kamilly Ribeiro,33,Masculino,Mendonça,1,Vestidos
569.487.210-01,Marcelo Novais,41,Feminino,Guerra,14,Vestidos
348.120.975-41,Isadora Araújo,47,Feminino,Garcia,9,Acessórios
159.634.078-93,Bruna Novaes,63,Masculino,Costa da Mata,1,Calças
601.978.354-57,Asafe Gomes,40,Feminino,Castro Grande,1,Calças
641.079.823-78,Vinicius Cavalcante,60,Masculino,Rezende,20,Vestidos
308.451.796-75,Dante Costela,38,Masculino,Campos Alegre,11,Camisetas
352.678.410-80,Vitória Câmara,63,Masculino,Barros do Galho,14,Camisetas
412.709.536-99,Evelyn Andrade,42,Masculino,Rocha,3,Vestidos
104.289.736-04,Isadora Martins,30,Feminino,Siqueira da Serra,20,Calças
012.846.379-13,Antony Sousa,23,Masculino,Nogueira,3,Vestidos
721.548.390-88,Cecilia Guerra,21,Masculino,Araújo,11,Vestidos
247.893.150-88,Marcos Vinicius Marques,32,Feminino,Rios de Goiás,3,Calças
251.830.674-90,Sra. Maria Júlia das Neves,48,Feminino,da Rocha do Norte,11,Calças
962.308.417-03,Raul Garcia,23,Feminino,Casa Grande de Sales,8,Calças
842.730.519-23,Benjamin Mendes,55,Masculino,Aragão de da Costa,3,Vestidos
498.075.613-10,Srta. Yasmin Correia,45,Feminino,Campos do Campo,12,Vestidos
602.489.753-74,Maya Garcia,37,Masculino,Moreira Grande,13,Camisetas
736.129.058-21,Luigi Monteiro,43,Masculino,Aragão,18,Camisetas
650.729.843-38,Mathias Nunes,58,Feminino,Monteiro de Campos,3,Camisetas
460.835.792-10,Isaac Macedo,42,Masculino,Nogueira,6,Vestidos
826.059.731-40,Vitor Viana,54,Masculino,da Mota,19,Camisetas
536.947.021-99,Gael da Cruz,48,Feminino,Pimenta,20,Vestidos
379.654.218-28,Gustavo Aparecida,55,Masculino,Cavalcanti Alegre,4,Calças
395.728.610-77,Bianca Moraes,61,Masculino,Novais,15,Vestidos
831.026.597-21,Heloísa Câmara,21,Masculino,Vieira,15,Camisetas
362.170.894-40,Alícia Castro,45,Masculino,Oliveira do Sul,15,Acessórios
741.985.263-46,Bryan Ramos,64,Masculino,da Cunha,9,Acessórios
520.617.948-58,Leonardo Pimenta,57,Feminino,Novaes do Oeste,17,Camisetas
281.743.065-44,Vicente Vargas,25,Masculino,Viana,12,Vestidos
460.173.852-08,Caleb Fonseca,47,Masculino,Melo,11,Calças
843.621.570-26,Arthur Miguel da Mota,29,Masculino,da Luz,14,Vestidos
657.849.103-10,Davi Miguel Castro,37,Feminino,da Cunha do Galho,12,Camisetas
892.605.413-60,Dr. Bento Peixoto,23,Masculino,Jesus Paulista,6,Camisetas
096.214.758-30,Sara Vieira,40,Masculino,Azevedo,10,Camisetas
592.367.840-38,Isaac Novaes,65,Masculino,Alves,0,Camisetas
798.056.123-68,Maria Luísa Aragão,43,Masculino,Leão,13,Calças
107.462.358-44,Sr. Cauã Pires,52,Masculino,Caldeira Grande,18,Acessórios
691.230.478-87,Lorenzo Cavalcanti,39,Feminino,Fonseca das Pedras,10,Calças
624.381.750-44,Nina Silva,50,Masculino,Macedo,3,Calças
194.723.658-09,Kevin Siqueira,49,Masculino,Moura,18,Acessórios
431.960.285-42,Ana Lívia Alves,22,Masculino,Santos,20,Camisetas
356.902.471-70,Danilo da Cruz,62,Feminino,Novaes,14,Vestidos
284.136.075-07,Nathan Mendonça,50,Feminino,Garcia das Flores,18,Calças
243.087.691-40,Erick Montenegro,23,Masculino,Ribeiro,5,Calças
038.596.412-98,Henrique Oliveira,42,Feminino,Barros de Moreira,9,Calças
041.872.569-11,Renan Rodrigues,23,Feminino,Melo Verde,19,Acessórios
491.706.358-20,Igor Teixeira,32,Feminino,Vargas Grande,19,Camisetas
751.926.384-37,Otto Rodrigues,48,Feminino,Jesus,17,Camisetas
926.583.074-38,Sr. Miguel Pimenta,64,Masculino,Melo do Campo,15,Acessórios
215.698.473-55,Dr. Davi Miguel Novaes,40,Feminino,Novaes da Prata,2,Vestidos
380.421.795-88,Rodrigo Cavalcante,30,Feminino,Albuquerque do Amparo,11,Acessórios
718.469.253-55,Ágatha Novais,65,Feminino,Rios,3,Vestidos
495.807.312-41,Sr. Nathan Moreira,47,Masculino,Gomes de Nascimento,19,Vestidos
743.196.208-87,Ana Sophia Rezende,50,Masculino,Fonseca,16,Calças
613.259.874-09,João Pedro das Neves,45,Masculino,Camargo do Galho,12,Camisetas
865.104.329-51,Olívia Barros,56,Masculino,Jesus,3,Calças
058.324.697-47,Ana Beatriz Garcia,30,Masculino,Teixeira,0,Calças
963.705.824-92,Mirella Mendonça,52,Feminino,Araújo,13,Calças
541.609.723-06,Liz Araújo,62,Masculino,Cavalcanti,12,Acessórios
962.187.405-01,Luiz Gustavo da Cunha,62,Masculino,Santos,10,Camisetas
285.639.147-82,Esther Moraes,58,Feminino,Machado do Campo,17,Acessórios
139.805.467-48,Calebe da Conceição,50,Masculino,Montenegro,9,Camisetas
485.612.093-05,Heloisa Nascimento,20,Feminino,Siqueira do Norte,15,Calças
536.792.184-19,Lunna Fernandes,32,Feminino,da Costa do Norte,11,Calças
710.253.489-23,Clara Ferreira,61,Feminino,Leão,12,Calças
968.214.530-98,André Aragão,31,Feminino,Siqueira,16,Vestidos
857.092.614-67,Murilo Nogueira,21,Feminino,Barbosa,10,Calças
378.925.410-04,Pedro Henrique Andrade,55,Masculino,Rocha,15,Camisetas
038.952.617-77,Evelyn da Paz,51,Feminino,Fonseca,13,Acessórios
792.638.541-73,Sr. Vitor Hugo Mendes,64,Feminino,Silveira de Minas,8,Calças
426.715.903-34,Bella Cardoso,36,Masculino,Sampaio,19,Vestidos
236.875.049-56,Calebe Nascimento,40,Masculino,Borges,6,Vestidos
156.483.279-19,Laura da Cruz,24,Masculino,Pinto da Praia,11,Camisetas
609.834.275-00,Ana Luiza Mendes,24,Masculino,Nunes,5,Calças
912.068.357-02,Anthony da Conceição,48,Masculino,Jesus,6,Calças
593.178.420-97,Natália Monteiro,65,Feminino,Barros do Sul,10,Camisetas
